Time,RGDP,SPX,CR_wamp,CR_3ml,CDS_CR_S,CDM_CRS,SP500,RealGDP,CDMCRS,CDSCRS,CRWAMP,CR3ML,oneMonth,customerRate,ttsRGDP,spread
201401,15748.98627,1822.36,-0.07074,-0.088950989,-0.050720989,-0.100720989,NA,NA,NA,NA,NA,NA,0.1565,0.001289798,NA,NA
201402,15719.75726,1817.03,-0.080301619,-0.089769837,-0.054569837,-0.104569837,NA,NA,NA,NA,NA,NA,0.1555,0.001317579,NA,NA
201403,15769.62008,1863.52,-0.095861277,-0.101116013,-0.067016013,-0.117016013,41.16,NA,-0.016295024,NA,NA,NA,0.152,0.001191813,NA,NA
201404,15833.89339,1864.26,-0.088131417,-0.086786153,-0.059286153,-0.109286153,47.23,NA,-0.004716316,NA,-0.017391417,NA,0.1505,0.001328984,NA,NA
201405,15899.06376,1889.77,-0.091059894,-0.091109717,-0.065019717,-0.115019717,26.25,NA,0.001996296,-0.008565164,-0.010758275,NA,0.151,0.0013019,84.90712,NA
201406,15969.50072,1947.09,-0.087520726,-0.101738252,-0.070788252,-0.120788252,82.83,2.156510103,-0.011502099,-0.01044988,0.008340551,NA,0.1552,0.001261883,179.3065,NA
201407,16040.83473,1973.1,-0.084865857,-0.102303383,-0.068133383,-0.118133383,83.33,4.562576814,-0.003113666,-0.003772239,0.00326556,-0.01551723,0.156,0.001217518,199.88064,0.006039186
201408,16106.99426,1961.53,-0.090908036,-0.103751325,-0.069101325,-0.119101325,14.44,5.070017895,0.001686927,-0.00884723,0.000151858,-0.012641608,0.157,0.001088196,206.94134,0.004484321
201409,16137.04338,1993.23,-0.095280964,-0.105643012,-0.071613012,-0.121613012,20.13,5.227806829,-0.003479629,-0.004081608,-0.007760238,-0.00390476,0.1565,0.001049502,207.9305,-0.00312993
201410,16161.51682,1937.27,-0.095165856,-0.095789657,-0.064409657,-0.114409657,-24.26,5.231264007,0.004691668,-0.00082476,-0.010299999,0.006513726,0.1559,0.001038624,167.54266,-0.005611466
201411,16186.22169,2044.57,-0.131908712,-0.112738315,-0.079878315,-0.129878315,51.34,4.196566015,-0.008265303,0.003723726,-0.041000676,-0.00898699,0.154,0.001098039,120.68209,-0.006213704
201412,16212.34606,2054.27,-0.118575383,-0.110796753,-0.066186753,-0.116186753,117,3.00937182,-0.001777096,-0.01077699,-0.023294419,-0.005153741,0.17125,0.001141311,79.22743,-0.001512381
201501,16239.13394,2028.18,-0.121844719,-0.120368178,-0.066048178,-0.116048178,-16.39,1.967528608,0.013830137,0.005426259,-0.026678863,-0.024578521,0.17125,0.001177251,75.30268,-7.8894E-05
201502,16265.98654,2082.2,-0.127164503,-0.127409206,-0.068989206,-0.118989206,27.93,1.866579354,-0.002802453,-0.001638521,0.004744209,-0.014670891,0.173,0.001166489,77.61712,0.003009843
201503,16301.5879,2079.99,-0.113847812,-0.129797025,-0.061497025,-0.111497025,51.81,1.921035528,0.004551153,0.010889109,0.004727571,-0.019000272,0.17625,0.0010696,79.76485,-0.014658191
201504,16339.80314,2094.86,-0.126792815,-0.153481495,-0.077521495,-0.127521495,12.66,1.971178982,-0.008532289,0.004689728,-0.004948096,-0.033113317,0.181,0.000997388,89.24184,-0.015211373
201505,16376.71761,2111.94,-0.126232193,-0.16763258,-0.08809258,-0.13809258,31.95,2.201824207,-0.026595555,-0.011473317,0.00093231,-0.040223374,0.184,0.001102115,100.6692,-0.01893155
