mon,Year,Month,Customer_rate,TP_Rate,Balance,ON,3M,6M,1Y,2Y,3Y,4Y,5Y
200001,2000,1,0,0,0,0.054483871,0.060356252,0.061071713,0.066287097,0.069546774,0.07093871,0.071451613,0.072340323
200002,2000,2,0,0,0,0.057348276,0.060996552,0.061712013,0.068103448,0.071658621,0.073093103,0.073639655,0.07417931
200003,2000,3,0,0,0,0.058535484,0.061932058,0.06264752,0.06851129,0.071371129,0.072428065,0.072920323,0.073238871
200004,2000,4,0,0,0,0.060196667,0.063198133,0.063913595,0.06893,0.0710455,0.071557333,0.071882333,0.071929333
200005,2000,5,0,0,0,0.062680645,0.067515323,0.068230784,0.073801613,0.07593371,0.076500484,0.076795323,0.077059355
200006,2000,6,0,0,0,0.065283333,0.06793188,0.068647342,0.072423333,0.0730655,0.073187667,0.073217167,0.0733515
200007,2000,7,0,0,0,0.065445161,0.067326819,0.068042281,0.070762903,0.071437581,0.071613065,0.071723548,0.071922742
200008,2000,8,0,0,0,0.064967742,0.066907058,0.06762252,0.069519355,0.06995371,0.070072903,0.070127097,0.070305968
200009,2000,9,0,0,0,0.06517,0.066758337,0.067473798,0.068066667,0.068096333,0.068226,0.068415667,0.068752333
200010,2000,10,0,0,0,0.065093548,0.067780252,0.068495713,0.067167742,0.066712419,0.06685371,0.067111935,0.067494839
200011,2000,11,0,0,0,0.065143333,0.067519397,0.068234858,0.06639,0.065887833,0.066191667,0.066682667,0.0671675
200012,2000,12,0,0,0,0.064022581,0.065343958,0.06605942,0.061608871,0.060408065,0.060535,0.060851129,0.06118871
200101,2001,1,0,0,0,0.059758065,0.057052823,0.057768284,0.053982258,0.054472258,0.055694032,0.056661935,0.05749629
200102,2001,2,0,0,0,0.055832143,0.053570761,0.054286222,0.051357143,0.052719821,0.054404464,0.055724821,0.056808393
200103,2001,3,0,0,0,0.054395326,0.049629435,0.050344897,0.047567742,0.049395968,0.051571774,0.053179677,0.054475323
200104,2001,4,0,0,0,0.049264227,0.046244167,0.046959628,0.045051667,0.048117667,0.051189333,0.0533295,0.055004
200105,2001,5,0,0,0,0.0429478,0.041073187,0.041788649,0.042858065,0.048055806,0.052034194,0.05459429,0.056531613
200106,2001,6,0,0,0,0.040483077,0.038410217,0.039125678,0.04056,0.046369667,0.0508865,0.053819667,0.055913833
200107,2001,7,0,0,0,0.038409884,0.037518952,0.038234413,0.0398,0.045746452,0.050438065,0.053531452,0.055666774
200108,2001,8,0,0,0,0.037232558,0.035674194,0.036389655,0.037035484,0.04252871,0.047269194,0.050477742,0.052779355
200109,2001,9,0,0,0,0.03493656,0.03043292,0.031148382,0.030973967,0.036958,0.042086333,0.04561,0.048184167
200110,2001,10,0,0,0,0.025695665,0.023989919,0.024705381,0.024996774,0.031663226,0.03768,0.041846129,0.044872742
200111,2001,11,0,0,0,0.021740787,0.021096047,0.021811508,0.024063333,0.031887333,0.038273833,0.042626167,0.045742833
200112,2001,12,0,0,0,0.019153426,0.01928811,0.020003571,0.024454839,0.035557419,0.043149516,0.04787629,0.051225323
200201,2002,1,0,0,0,0.0194094,0.0188,0.0207,0.02325,0.033883065,0.041531387,0.046415645,0.049722581
200202,2002,2,0,0,0,0.0193594,0.019,0.0205,0.02475,0.033671786,0.040583214,0.045205893,0.048606429
200203,2002,3,0,0,0,0.020075,0.0203,0.0236,0.0306,0.039583387,0.04591871,0.049951935,0.052894355
200204,2002,4,0,0,0,0.0193538,0.0192,0.0212,0.02615,0.0380155,0.044168167,0.048242167,0.051140667
200205,2002,5,0,0,0,0.0188125,0.0189625,0.021,0.0265,0.036284355,0.042355968,0.046386129,0.049401452
200206,2002,6,0,0,0,0.0203125,0.0186,0.0195,0.02315,0.033628667,0.039589333,0.0434645,0.046394167
200207,2002,7,0,0,0,0.01905,0.0182375,0.0184,0.02015,0.029086935,0.03526,0.039575806,0.042949194
200208,2002,8,0,0,0,0.0195,0.0180625,0.018,0.0194,0.024900161,0.030606452,0.035023548,0.038601452
200209,2002,9,0,0,0,0.02065,0.0179,0.0165,0.01655,0.023513167,0.028202667,0.032010833,0.035219
200210,2002,10,0,0,0,0.0195,0.0168625,0.0158,0.016,0.023085806,0.027954355,0.031884677,0.035213871
200211,2002,11,0,0,0,0.0141625,0.01425,0.0146,0.017,0.0224705,0.027835167,0.031791167,0.035055667
200212,2002,12,0,0,0,0.0140375,0.0138,0.0137,0.0143,0.021363871,0.026917742,0.031128226,0.034509677
200301,2003,1,0,0,0,0.013525,0.0135,0.0134,0.01485,0.020157258,0.025759194,0.030436129,0.034266774
200302,2003,2,0,0,0,0.0137125,0.0134,0.0131,0.0139,0.018893214,0.02449125,0.029141786,0.032945893
200303,2003,3,0,0,0,0.0151,0.0127875,0.0122,0.01265,0.018315323,0.023692097,0.028126613,0.031913226
